"State","Region","Quarter","Trips"
"New South Wales","Blue Mountains",2003 Q3,159.1031766
"New South Wales","Blue Mountains",2003 Q4,158.2559922
"New South Wales","Blue Mountains",2004 Q1,137.5997753
"New South Wales","Blue Mountains",2004 Q2,168.1375456
"New South Wales","Blue Mountains",2004 Q3,109.3480173
"New South Wales","Blue Mountains",2004 Q4,123.7372251
"New South Wales","Blue Mountains",2005 Q1,142.7826691
"New South Wales","Blue Mountains",2005 Q2,189.3254511
"New South Wales","Blue Mountains",2005 Q3,164.2060071
"New South Wales","Blue Mountains",2005 Q4,157.3769049
"New South Wales","Blue Mountains",2006 Q1,138.505634
"New South Wales","Blue Mountains",2006 Q2,179.297364
"New South Wales","Blue Mountains",2006 Q3,163.91795
"New South Wales","Blue Mountains",2006 Q4,168.508903
"New South Wales","Blue Mountains",2007 Q1,140.0989823
"New South Wales","Blue Mountains",2007 Q2,207.156924
"New South Wales","Blue Mountains",2007 Q3,172.1741518
"New South Wales","Blue Mountains",2007 Q4,126.4670424
"New South Wales","Blue Mountains",2008 Q1,150.4548297
"New South Wales","Blue Mountains",2008 Q2,197.7699878
"New South Wales","Blue Mountains",2008 Q3,191.1836909
"New South Wales","Blue Mountains",2008 Q4,147.0737088
"New South Wales","Blue Mountains",2009 Q1,129.5581034
"New South Wales","Blue Mountains",2009 Q2,143.5696237
"New South Wales","Blue Mountains",2009 Q3,169.6128587
"New South Wales","Blue Mountains",2009 Q4,128.2218455
"New South Wales","Blue Mountains",2010 Q1,142.8329786
"New South Wales","Blue Mountains",2010 Q2,179.1600946
"New South Wales","Blue Mountains",2010 Q3,167.3156283
"New South Wales","Blue Mountains",2010 Q4,159.6978374
"New South Wales","Blue Mountains",2011 Q1,158.0589179
"New South Wales","Blue Mountains",2011 Q2,208.6660032
"New South Wales","Blue Mountains",2011 Q3,139.0092408
"New South Wales","Blue Mountains",2011 Q4,138.6231903
"New South Wales","Blue Mountains",2012 Q1,184.0519552
"New South Wales","Blue Mountains",2012 Q2,259.4219175
"New South Wales","Blue Mountains",2012 Q3,190.1276064
"New South Wales","Blue Mountains",2012 Q4,131.0547957
"New South Wales","Blue Mountains",2013 Q1,193.222116
"New South Wales","Blue Mountains",2013 Q2,181.7916415
"New South Wales","Blue Mountains",2013 Q3,197.8199185
"New South Wales","Blue Mountains",2013 Q4,161.3944696
"New South Wales","Blue Mountains",2014 Q1,179.7694654
"New South Wales","Blue Mountains",2014 Q2,264.5402889
"New South Wales","Blue Mountains",2014 Q3,190.8149824
"New South Wales","Blue Mountains",2014 Q4,202.2309113
"New South Wales","Blue Mountains",2015 Q1,155.0848601
"New South Wales","Blue Mountains",2015 Q2,312.24493
"New South Wales","Blue Mountains",2015 Q3,191.6363504
"New South Wales","Blue Mountains",2015 Q4,226.2409168
"New South Wales","Blue Mountains",2016 Q1,227.4606916
"New South Wales","Blue Mountains",2016 Q2,303.5583538
"New South Wales","Blue Mountains",2016 Q3,211.0180592
"New South Wales","Blue Mountains",2016 Q4,220.1716089
"New South Wales","Blue Mountains",2017 Q1,190.4738557
"New South Wales","Blue Mountains",2017 Q2,315.7889289
"New South Wales","Blue Mountains",2017 Q3,314.6307274
"New South Wales","Blue Mountains",2017 Q4,203.4606301
"New South Wales","Capital Country",1998 Q1,261.8081416
"New South Wales","Capital Country",1998 Q2,238.6000294
"New South Wales","Capital Country",1998 Q3,184.4237515
"New South Wales","Capital Country",1998 Q4,229.0889379
"New South Wales","Capital Country",1999 Q1,252.2819512
"New South Wales","Capital Country",1999 Q2,212.3714819
"New South Wales","Capital Country",1999 Q3,229.1090432
"New South Wales","Capital Country",1999 Q4,254.2711096
"New South Wales","Capital Country",2000 Q1,225.9591559
"New South Wales","Capital Country",2000 Q2,321.4800974
"New South Wales","Capital Country",2000 Q3,267.6977227
"New South Wales","Capital Country",2000 Q4,245.7643728
"New South Wales","Capital Country",2001 Q1,164.8239179
"New South Wales","Capital Country",2001 Q2,265.2848007
"New South Wales","Capital Country",2001 Q3,243.0445613
"New South Wales","Capital Country",2001 Q4,286.6469873
"New South Wales","Capital Country",2002 Q1,169.1076113
"New South Wales","Capital Country",2002 Q2,257.0577664
"New South Wales","Capital Country",2002 Q3,245.785033
"New South Wales","Capital Country",2002 Q4,249.9890455
"New South Wales","Capital Country",2003 Q1,192.0428342
"New South Wales","Capital Country",2003 Q2,274.2736401
"New South Wales","Capital Country",2003 Q3,255.3806313
"New South Wales","Capital Country",2003 Q4,237.9187588
"New South Wales","Capital Country",2004 Q1,218.8508402
"New South Wales","Capital Country",2004 Q2,240.94669
"New South Wales","Capital Country",2004 Q3,213.3144868
"New South Wales","Capital Country",2004 Q4,238.7695743
"New South Wales","Capital Country",2005 Q1,191.0693342
"New South Wales","Capital Country",2005 Q2,238.5737166
"New South Wales","Capital Country",2005 Q3,151.0150659
"New South Wales","Capital Country",2005 Q4,210.5293846
"New South Wales","Capital Country",2006 Q1,187.940761
"New South Wales","Capital Country",2006 Q2,230.119907
"New South Wales","Capital Country",2006 Q3,192.928934
"New South Wales","Capital Country",2006 Q4,217.345418
"New South Wales","Capital Country",2007 Q1,180.5505568
"New South Wales","Capital Country",2007 Q2,250.3225912
"New South Wales","Capital Country",2007 Q3,210.4791457
"New South Wales","Capital Country",2007 Q4,193.8352477
"New South Wales","Capital Country",2008 Q1,237.9438143
"New South Wales","Capital Country",2008 Q2,215.6859984
"New South Wales","Capital Country",2008 Q3,236.1225219
"New South Wales","Capital Country",2008 Q4,235.6036992
"New South Wales","Capital Country",2009 Q1,184.1789455
"New South Wales","Capital Country",2009 Q2,190.3935665
"New South Wales","Capital Country",2009 Q3,190.9998369
"New South Wales","Capital Country",2009 Q4,311.3399585
"New South Wales","Capital Country",2010 Q1,224.279638
"New South Wales","Capital Country",2010 Q2,236.4343155
"New South Wales","Capital Country",2010 Q3,212.1402922
"New South Wales","Capital Country",2010 Q4,262.7947602
"New South Wales","Capital Country",2011 Q1,247.6360994
"New South Wales","Capital Country",2011 Q2,263.027019
"New South Wales","Capital Country",2011 Q3,194.422903
"New South Wales","Capital Country",2011 Q4,306.1109299
"New South Wales","Capital Country",2012 Q1,246.4255975
"New South Wales","Capital Country",2012 Q2,294.3511731
"New South Wales","Capital Country",2012 Q3,216.0869208
"New South Wales","Capital Country",2012 Q4,287.3246487
"New South Wales","Capital Country",2013 Q1,304.0949618
"New South Wales","Capital Country",2013 Q2,205.4075382
"New South Wales","Capital Country",2013 Q3,248.7887145
"New South Wales","Capital Country",2013 Q4,301.8307446
"New South Wales","Capital Country",2014 Q1,267.6406765
"New South Wales","Capital Country",2014 Q2,242.8830476
"New South Wales","Capital Country",2014 Q3,236.873802
"New South Wales","Capital Country",2014 Q4,252.6499112
"New South Wales","Capital Country",2015 Q1,256.9624763
"New South Wales","Capital Country",2015 Q2,215.3307573
"New South Wales","Capital Country",2015 Q3,287.8540614
"New South Wales","Capital Country",2015 Q4,345.6945178
"New South Wales","Capital Country",2016 Q1,306.4440622
"New South Wales","Capital Country",2016 Q2,322.5047182
"New South Wales","Capital Country",2016 Q3,262.9282484
"New South Wales","Capital Country",2016 Q4,277.3330297
"New South Wales","Capital Country",2017 Q1,300.0212106
"New South Wales","Capital Country",2017 Q2,305.7110772
"New South Wales","Capital Country",2017 Q3,287.2511798
"New South Wales","Capital Country",2017 Q4,356.3840741
"New South Wales","Central Coast",1998 Q1,455.1668487
"New South Wales","Central Coast",1998 Q2,343.4767584
"New South Wales","Central Coast",1998 Q3,303.6708747
"New South Wales","Central Coast",1998 Q4,331.8170602
"New South Wales","Central Coast",1999 Q1,466.8155714
"New South Wales","Central Coast",1999 Q2,312.8353566
"New South Wales","Central Coast",1999 Q3,279.4479935
"New South Wales","Central Coast",1999 Q4,363.1017602
"New South Wales","Central Coast",2000 Q1,371.4576192
"New South Wales","Central Coast",2000 Q2,335.4421476
"New South Wales","Central Coast",2000 Q3,283.4041433
"New South Wales","Central Coast",2000 Q4,372.9361337
"New South Wales","Central Coast",2001 Q1,394.2126146
"New South Wales","Central Coast",2001 Q2,328.4250309
"New South Wales","Central Coast",2001 Q3,273.7523204
"New South Wales","Central Coast",2001 Q4,406.4007502
"New South Wales","Central Coast",2002 Q1,441.4222402
"New South Wales","Central Coast",2002 Q2,311.9569803
"New South Wales","Central Coast",2002 Q3,307.4032534
"New South Wales","Central Coast",2002 Q4,425.0763281
"New South Wales","Central Coast",2003 Q1,411.9259201
"New South Wales","Central Coast",2003 Q2,347.6767593
"New South Wales","Central Coast",2003 Q3,390.3913405
"New South Wales","Central Coast",2003 Q4,332.6868862
"New South Wales","Central Coast",2004 Q1,508.4145371
"New South Wales","Central Coast",2004 Q2,384.3034138
"New South Wales","Central Coast",2004 Q3,279.6464726
"New South Wales","Central Coast",2004 Q4,340.1874164
"New South Wales","Central Coast",2005 Q1,417.6908497
"New South Wales","Central Coast",2005 Q2,274.1080206
"New South Wales","Central Coast",2005 Q3,204.3775397
"New South Wales","Central Coast",2005 Q4,308.4945384
"New South Wales","Central Coast",2006 Q1,489.681543
"New South Wales","Central Coast",2006 Q2,320.428023
"New South Wales","Central Coast",2006 Q3,272.356782
"New South Wales","Central Coast",2006 Q4,342.704162
"New South Wales","Central Coast",2007 Q1,417.9952357
"New South Wales","Central Coast",2007 Q2,317.9974771
"New South Wales","Central Coast",2007 Q3,248.7276049
"New South Wales","Central Coast",2007 Q4,331.005286
"New South Wales","Central Coast",2008 Q1,452.9427943
"New South Wales","Central Coast",2008 Q2,215.6171165
"New South Wales","Central Coast",2008 Q3,241.4105033
"New South Wales","Central Coast",2008 Q4,299.1458048
"New South Wales","Central Coast",2009 Q1,381.8368029
"New South Wales","Central Coast",2009 Q2,246.8134113
"New South Wales","Central Coast",2009 Q3,248.1979144
"New South Wales","Central Coast",2009 Q4,293.8086867
"New South Wales","Central Coast",2010 Q1,370.732213
"New South Wales","Central Coast",2010 Q2,216.8376675
"New South Wales","Central Coast",2010 Q3,261.8301534
"New South Wales","Central Coast",2010 Q4,287.4335175
"New South Wales","Central Coast",2011 Q1,402.717012
"New South Wales","Central Coast",2011 Q2,278.5599382
"New South Wales","Central Coast",2011 Q3,250.338075
"New South Wales","Central Coast",2011 Q4,272.0666846
"New South Wales","Central Coast",2012 Q1,359.6828666
"New South Wales","Central Coast",2012 Q2,248.5392296
"New South Wales","Central Coast",2012 Q3,309.316659
"New South Wales","Central Coast",2012 Q4,340.7240504
"New South Wales","Central Coast",2013 Q1,377.2229166
"New South Wales","Central Coast",2013 Q2,346.6879188
"New South Wales","Central Coast",2013 Q3,258.9110272
"New South Wales","Central Coast",2013 Q4,319.0460341
"New South Wales","Central Coast",2014 Q1,414.3681877
"New South Wales","Central Coast",2014 Q2,296.1988375
"New South Wales","Central Coast",2014 Q3,216.5051968
"New South Wales","Central Coast",2014 Q4,312.2192167
"New South Wales","Central Coast",2015 Q1,418.7621926
"New South Wales","Central Coast",2015 Q2,244.0470715
"New South Wales","Central Coast",2015 Q3,258.2805517
"New South Wales","Central Coast",2015 Q4,339.234588
"New South Wales","Central Coast",2016 Q1,398.0859139
"New South Wales","Central Coast",2016 Q2,250.9559715
"New South Wales","Central Coast",2016 Q3,265.4521054
"New South Wales","Central Coast",2016 Q4,379.4838587
"New South Wales","Central Coast",2017 Q1,455.0585943
"New South Wales","Central Coast",2017 Q2,278.4783802
"New South Wales","Central Coast",2017 Q3,272.4384344
"New South Wales","Central Coast",2017 Q4,427.7658277
"New South Wales","Central NSW",1998 Q1,424.3954464
"New South Wales","Central NSW",1998 Q2,557.0115705
"New South Wales","Central NSW",1998 Q3,555.5279701
"New South Wales","Central NSW",1998 Q4,590.1584354
"New South Wales","Central NSW",1999 Q1,480.1292603
"New South Wales","Central NSW",1999 Q2,459.6412798
"New South Wales","Central NSW",1999 Q3,469.3722407
"New South Wales","Central NSW",1999 Q4,564.1352691
"New South Wales","Central NSW",2000 Q1,413.5989311
"New South Wales","Central NSW",2000 Q2,467.0905224
"New South Wales","Central NSW",2000 Q3,449.3967514
"New South Wales","Central NSW",2000 Q4,473.3510781
"New South Wales","Central NSW",2001 Q1,415.5483352
"New South Wales","Central NSW",2001 Q2,410.981209
"New South Wales","Central NSW",2001 Q3,524.1179768
"New South Wales","Central NSW",2001 Q4,481.1102149
"New South Wales","Central NSW",2002 Q1,437.952151
"New South Wales","Central NSW",2002 Q2,592.8351449
"New South Wales","Central NSW",2002 Q3,548.398106
"New South Wales","Central NSW",2002 Q4,534.6074055
"New South Wales","Central NSW",2003 Q1,448.7595724
"New South Wales","Central NSW",2003 Q2,542.8673672
"New South Wales","Central NSW",2003 Q3,586.3676885
"New South Wales","Central NSW",2003 Q4,574.2196093
"New South Wales","Central NSW",2004 Q1,387.1360961
"New South Wales","Central NSW",2004 Q2,534.4877467
"New South Wales","Central NSW",2004 Q3,480.2794357
"New South Wales","Central NSW",2004 Q4,515.9115258
"New South Wales","Central NSW",2005 Q1,493.2188419
"New South Wales","Central NSW",2005 Q2,453.9901466
"New South Wales","Central NSW",2005 Q3,443.3495389
"New South Wales","Central NSW",2005 Q4,443.7918747
"New South Wales","Central NSW",2006 Q1,436.514454
"New South Wales","Central NSW",2006 Q2,448.847734
"New South Wales","Central NSW",2006 Q3,454.003359
"New South Wales","Central NSW",2006 Q4,413.382019
"New South Wales","Central NSW",2007 Q1,405.0306549
"New South Wales","Central NSW",2007 Q2,507.8742853
"New South Wales","Central NSW",2007 Q3,438.3734653
"New South Wales","Central NSW",2007 Q4,428.7386105
"New South Wales","Central NSW",2008 Q1,468.8049123
"New South Wales","Central NSW",2008 Q2,417.8375815
"New South Wales","Central NSW",2008 Q3,441.5068835
"New South Wales","Central NSW",2008 Q4,398.0143279
"New South Wales","Central NSW",2009 Q1,343.2154898
"New South Wales","Central NSW",2009 Q2,434.085363
"New South Wales","Central NSW",2009 Q3,370.9254449
"New South Wales","Central NSW",2009 Q4,456.6588552
"New South Wales","Central NSW",2010 Q1,356.7740952
"New South Wales","Central NSW",2010 Q2,394.7465153
"New South Wales","Central NSW",2010 Q3,442.2684558
"New South Wales","Central NSW",2010 Q4,416.9802177
"New South Wales","Central NSW",2011 Q1,405.093775
"New South Wales","Central NSW",2011 Q2,397.1440814
"New South Wales","Central NSW",2011 Q3,455.3419465
"New South Wales","Central NSW",2011 Q4,472.5775039
"New South Wales","Central NSW",2012 Q1,423.2839535
"New South Wales","Central NSW",2012 Q2,526.629604
"New South Wales","Central NSW",2012 Q3,394.8585494
"New South Wales","Central NSW",2012 Q4,505.6834724
"New South Wales","Central NSW",2013 Q1,363.1995247
"New South Wales","Central NSW",2013 Q2,560.3985282
"New South Wales","Central NSW",2013 Q3,404.9851919
"New South Wales","Central NSW",2013 Q4,441.1772314
"New South Wales","Central NSW",2014 Q1,339.373342
"New South Wales","Central NSW",2014 Q2,472.0699815
"New South Wales","Central NSW",2014 Q3,500.9569517
"New South Wales","Central NSW",2014 Q4,535.2691748
"New South Wales","Central NSW",2015 Q1,378.2065382
"New South Wales","Central NSW",2015 Q2,530.0010407
"New South Wales","Central NSW",2015 Q3,473.797253
"New South Wales","Central NSW",2015 Q4,549.6517395
"New South Wales","Central NSW",2016 Q1,508.6850133
"New South Wales","Central NSW",2016 Q2,461.0432171
"New South Wales","Central NSW",2016 Q3,505.2368028
"New South Wales","Central NSW",2016 Q4,525.2546273
"New South Wales","Central NSW",2017 Q1,529.943138
"New South Wales","Central NSW",2017 Q2,651.3597331
"New South Wales","Central NSW",2017 Q3,628.5963665
"New South Wales","Central NSW",2017 Q4,628.2280871
"New South Wales","Hunter",1998 Q1,674.9784573
"New South Wales","Hunter",1998 Q2,791.8872336
"New South Wales","Hunter",1998 Q3,566.0405995
"New South Wales","Hunter",1998 Q4,591.5689466
"New South Wales","Hunter",1999 Q1,785.1027753
"New South Wales","Hunter",1999 Q2,682.2452388
"New South Wales","Hunter",1999 Q3,655.2929692
"New South Wales","Hunter",1999 Q4,630.8431227
"New South Wales","Hunter",2000 Q1,727.2605203
"New South Wales","Hunter",2000 Q2,627.6222234
"New South Wales","Hunter",2000 Q3,626.2275858
"New South Wales","Hunter",2000 Q4,786.6301101
"New South Wales","Hunter",2001 Q1,726.3134245
"New South Wales","Hunter",2001 Q2,767.2828876
"New South Wales","Hunter",2001 Q3,657.6341159
"New South Wales","Hunter",2001 Q4,658.970676
"New South Wales","Hunter",2002 Q1,743.8524094
"New South Wales","Hunter",2002 Q2,766.5866567
"New South Wales","Hunter",2002 Q3,662.8269921
"New South Wales","Hunter",2002 Q4,737.5063392
"New South Wales","Hunter",2003 Q1,713.9060317
"New South Wales","Hunter",2003 Q2,703.6218261
"New South Wales","Hunter",2003 Q3,640.7227985
"New South Wales","Hunter",2003 Q4,679.2351065
"New South Wales","Hunter",2004 Q1,731.3627239
"New South Wales","Hunter",2004 Q2,718.398429
"New South Wales","Hunter",2004 Q3,616.8592999
"New South Wales","Hunter",2004 Q4,598.391145
"New South Wales","Hunter",2005 Q1,738.1802092
"New South Wales","Hunter",2005 Q2,605.592121
"New South Wales","Hunter",2005 Q3,555.1259561
"New South Wales","Hunter",2005 Q4,661.0698036
"New South Wales","Hunter",2006 Q1,744.349192
"New South Wales","Hunter",2006 Q2,688.465815
"New South Wales","Hunter",2006 Q3,571.890097
"New South Wales","Hunter",2006 Q4,648.514269
"New South Wales","Hunter",2007 Q1,752.3559403
"New South Wales","Hunter",2007 Q2,753.6836194
"New South Wales","Hunter",2007 Q3,629.3324132
"New South Wales","Hunter",2007 Q4,712.0231575
"New South Wales","Hunter",2008 Q1,798.9439731
"New South Wales","Hunter",2008 Q2,640.8423144
"New South Wales","Hunter",2008 Q3,615.6832464
"New South Wales","Hunter",2008 Q4,659.6875495
"New South Wales","Hunter",2009 Q1,703.7109191
"New South Wales","Hunter",2009 Q2,531.028977
"New South Wales","Hunter",2009 Q3,664.8803152
"New South Wales","Hunter",2009 Q4,744.1363985
"New South Wales","Hunter",2010 Q1,750.8088761
"New South Wales","Hunter",2010 Q2,600.5549842
"New South Wales","Hunter",2010 Q3,692.9531013
"New South Wales","Hunter",2010 Q4,629.8867949
"New South Wales","Hunter",2011 Q1,827.1435342
"New South Wales","Hunter",2011 Q2,782.5703463
"New South Wales","Hunter",2011 Q3,593.6497098
"New South Wales","Hunter",2011 Q4,773.2254406
"New South Wales","Hunter",2012 Q1,703.6991268
"New South Wales","Hunter",2012 Q2,601.2916582
"New South Wales","Hunter",2012 Q3,656.9761042
"New South Wales","Hunter",2012 Q4,795.4073391
"New South Wales","Hunter",2013 Q1,711.2953681
"New South Wales","Hunter",2013 Q2,680.031281
"New South Wales","Hunter",2013 Q3,697.9204052
"New South Wales","Hunter",2013 Q4,659.9071426
"New South Wales","Hunter",2014 Q1,801.2537275
"New South Wales","Hunter",2014 Q2,692.4411064
"New South Wales","Hunter",2014 Q3,686.8498152
"New South Wales","Hunter",2014 Q4,785.363353
"New South Wales","Hunter",2015 Q1,838.8066636
"New South Wales","Hunter",2015 Q2,764.0549409
"New South Wales","Hunter",2015 Q3,699.6875009
"New South Wales","Hunter",2015 Q4,831.2333368
"New South Wales","Hunter",2016 Q1,842.8019377
"New South Wales","Hunter",2016 Q2,829.9771024
"New South Wales","Hunter",2016 Q3,801.05721
"New South Wales","Hunter",2016 Q4,843.7872521
"New South Wales","Hunter",2017 Q1,757.0282045
"New South Wales","Hunter",2017 Q2,897.959744
"New South Wales","Hunter",2017 Q3,914.8204261
"New South Wales","Hunter",2017 Q4,1004.3339125
"New South Wales","New England North West",1998 Q1,329.8385064
"New South Wales","New England North West",1998 Q2,328.3660049
"New South Wales","New England North West",1998 Q3,324.859168
"New South Wales","New England North West",1998 Q4,279.7961945
"New South Wales","New England North West",1999 Q1,327.4918767
"New South Wales","New England North West",1999 Q2,313.8460151
"New South Wales","New England North West",1999 Q3,388.8180308
"New South Wales","New England North West",1999 Q4,301.4767667
"New South Wales","New England North West",2000 Q1,337.355309
"New South Wales","New England North West",2000 Q2,309.3099518
"New South Wales","New England North West",2000 Q3,341.8795147
"New South Wales","New England North West",2000 Q4,319.2285804
"New South Wales","New England North West",2001 Q1,353.8677743
"New South Wales","New England North West",2001 Q2,333.5186895
"New South Wales","New England North West",2001 Q3,425.1403516
"New South Wales","New England North West",2001 Q4,332.2790184
"New South Wales","New England North West",2002 Q1,329.0358422
"New South Wales","New England North West",2002 Q2,424.3448501
"New South Wales","New England North West",2002 Q3,422.0535611
"New South Wales","New England North West",2002 Q4,326.7030252
"New South Wales","New England North West",2003 Q1,342.2065068
"New South Wales","New England North West",2003 Q2,365.5872584
"New South Wales","New England North West",2003 Q3,412.1553183
"New South Wales","New England North West",2003 Q4,331.1842872
"New South Wales","New England North West",2004 Q1,382.7985014
"New South Wales","New England North West",2004 Q2,454.2469688
"New South Wales","New England North West",2004 Q3,381.6770263
"New South Wales","New England North West",2004 Q4,326.6304801
"New South Wales","New England North West",2005 Q1,296.2140864
"New South Wales","New England North West",2005 Q2,301.1612891
"New South Wales","New England North West",2005 Q3,375.9076928
"New South Wales","New England North West",2005 Q4,276.3924079
"New South Wales","New England North West",2006 Q1,323.036574
"New South Wales","New England North West",2006 Q2,323.79954
"New South Wales","New England North West",2006 Q3,312.070279
"New South Wales","New England North West",2006 Q4,327.258923
"New South Wales","New England North West",2007 Q1,343.1173063
"New South Wales","New England North West",2007 Q2,348.8712575
"New South Wales","New England North West",2007 Q3,271.4246518
"New South Wales","New England North West",2007 Q4,266.4329367
"New South Wales","New England North West",2008 Q1,351.2367305
"New South Wales","New England North West",2008 Q2,328.542339
"New South Wales","New England North West",2008 Q3,233.954531
"New South Wales","New England North West",2008 Q4,270.7255564
"New South Wales","New England North West",2009 Q1,315.4764521
"New South Wales","New England North West",2009 Q2,282.3505503
"New South Wales","New England North West",2009 Q3,289.5579082
"New South Wales","New England North West",2009 Q4,340.2906803
"New South Wales","New England North West",2010 Q1,282.7878552
"New South Wales","New England North West",2010 Q2,374.037419
"New South Wales","New England North West",2010 Q3,327.3537278
"New South Wales","New England North West",2010 Q4,280.0068276
"New South Wales","New England North West",2011 Q1,215.2900845
"New South Wales","New England North West",2011 Q2,356.3538662
"New South Wales","New England North West",2011 Q3,325.933375
"New South Wales","New England North West",2011 Q4,285.61897
"New South Wales","New England North West",2012 Q1,337.4748078
"New South Wales","New England North West",2012 Q2,329.1313756
"New South Wales","New England North West",2012 Q3,340.8776228
"New South Wales","New England North West",2012 Q4,350.306191
"New South Wales","New England North West",2013 Q1,314.9118331
"New South Wales","New England North West",2013 Q2,268.2174863
"New South Wales","New England North West",2013 Q3,299.03456
"New South Wales","New England North West",2013 Q4,288.0075243
"New South Wales","New England North West",2014 Q1,344.7888268
"New South Wales","New England North West",2014 Q2,291.2232839
"New South Wales","New England North West",2014 Q3,310.2271751
"New South Wales","New England North West",2014 Q4,337.7433729
